Fiyat (Metin),Fiyat (Sayisal),Konum,Last Update Date,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Title Deed Status,Furnishing Status,Usage Status
3.400.000 TRY,3400000.0,kurucesme,18/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",5 Storey,4,1 at Age,Underfloor Heating,Condominium,Not Furnished,Empty
2.800.000 TRY,2800000.0,efeler,23/10/2025,3 + 1,1.0,"117 m2 
/ 90 m2",3 Storey,3,26 at Age,No Heating,Floor Easement,Not Furnished,Empty
7.150.000 TRY,7150000.0,menderes,21/10/2025,3 + 1,1.0,"213 m2 
/ 185 m2",4 Storey,Raised Ground,35 at Age,Combi Boiler,Condominium,Not Furnished,Owner
6.100.000 TRY,6100000.0,yildiz,22/09/2025,2 + 1,2.0,"105 m2 
/ 95 m2",10 Storey,Top,New Property,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.195.000 TRY,3195000.0,menderes,22/10/2025,2 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,2,6 at Age,Combi Boiler,Condominium,Furnished,Empty
7.150.000 TRY,7150000.0,camlik,25/09/2025,3 + 1,2.0,"130 m2 
/ 120 m2",4 Storey,1,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
4.100.000 TRY,4100000.0,goksu,11/10/2025,2 + 1,2.0,"97 m2 
/ 94 m2",4 Storey,Middle,New Property,Combi Boiler,Floor Easement,Not Furnished,
2.750.000 TRY,2750000.0,hurriyet,04/09/2025,3 + 1,1.0,"115 m2 
/ 110 m2",2 Storey,Raised Ground,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.500.000 TRY,3500000.0,adatepe,06/10/2025,2 + 1,2.0,"100 m2 
/ 95 m2",4 Storey,4,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.425.000 TRY,2425000.0,ataturk,21/10/2025,1 + 1,1.0,"45 m2 
/ 40 m2",2 Storey,Raised Ground,4 at Age,Combi Boiler,Floor Easement,Furnished,Empty
4.700.000 TRY,4700000.0,efeler,22/10/2025,2 + 1,1.0,"100 m2 
/ 90 m2",5 Storey,3,40 at Age,Air Conditioning,Floor Easement,Not Furnished,Owner
4.450.000 TRY,4450000.0,yildiz,28/07/2025,2 + 1,1.0,"90 m2 
/ 85 m2",12 Storey,2,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
2.900.000 TRY,2900000.0,inonu,04/09/2025,1 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,2,6 at Age,Floor Heater,Floor Easement,Not Furnished,Owner
5.650.000 TRY,5650000.0,vali-rahmi-bey,22/10/2025,3 + 1,1.0,"150 m2 
/ 140 m2",4 Storey,3,25 at Age,Combi Boiler,Condominium,Not Furnished,Empty
5.100.000 TRY,5100000.0,hurriyet,20/10/2025,3 + 1,2.0,"140 m2 
/ 135 m2",7 Storey,6,20 at Age,Combi Boiler,Condominium,,Owner
2.700.000 TRY,2700000.0,yaylacik,29/09/2025,1 + 1,1.0,"50 m2 
/ 45 m2",6 Storey,2,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.350.000 TRY,3350000.0,inkilap,12/10/2025,2 + 1,1.0,"95 m2 
/ 90 m2",4 Storey,4,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.400.000 TRY,2400000.0,adatepe,08/10/2025,1 + 1,1.0,"60 m2 
/ 40 m2",2 Storey,Ground,3 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
2.720.000 TRY,2720000.0,laleli,09/10/2025,1 + 1,1.0,"41 m2 
/ 36 m2",4 Storey,Middle,New Property,Combi Boiler,Floor Easement,Furnished,Empty
3.000.000 TRY,3000000.0,kurucesme,21/10/2025,1 + 1,1.0,"55 m2 
/ 45 m2",11 Storey,2,5 at Age,Underfloor Heating,Floor Easement,Furnished,Owner
4.000.000 TRY,4000000.0,yaylacik,23/10/2025,2 + 1,1.0,"90 m2 
/ 80 m2",2 Storey,2,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
4.500.000 TRY,4500000.0,hurriyet,19/10/2025,3 + 1,1.0,"125 m2 
/ 120 m2",3 Storey,3,11 at Age,Combi Boiler,Condominium,Not Furnished,Owner
2.750.000 TRY,2750000.0,goksu,22/10/2025,2 + 1,1.0,"114 m2 
/ 98 m2",4 Storey,Ground,25 at Age,Combi Boiler,Condominium,Not Furnished,Empty
3.695.000 TRY,3695000.0,yigitler,11/09/2025,3 + 1,,"138 m2 
/ 130 m2",5 Storey,3,33 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
1.415.000 TRY,1415000.0,ataturk,17/10/2025,2 + 1,1.0,"75 m2 
/ 70 m2",3 Storey,2,1 at Age,Combi Boiler,Floor Easement,Furnished,Empty
2.999.999 TRY,2999999.0,kurucesme,17/09/2025,2 + 1,1.0,"70 m2 
/ 65 m2",11 Storey,Raised Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
2.380.000 TRY,2380000.0,adatepe,18/10/2025,1 + 1,1.0,"65 m2 
/ 50 m2",3 Storey,Raised Ground,1 at Age,Air Conditioning,Condominium,Furnished,Empty
2.475.000 TRY,2475000.0,adatepe,14/10/2025,1 + 1,1.0,"62 m2 
/ 57 m2",5 Storey,3,2 at Age,Combi Boiler,Floor Easement,Furnished,Empty
2.150.000 TRY,2150000.0,kurucesme,23/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,Underground 1,New Property,Air Conditioning,Floor Easement,Furnished,Empty
3.750.000 TRY,3750000.0,adatepe,18/10/2025,2 + 1,1.0,"80 m2 
/ 70 m2",5 Storey,2,4 at Age,Air Conditioning,Floor Easement,Furnished,Empty
3.500.000 TRY,3500000.0,guven,27/09/2025,3 + 1,1.0,"120 m2 
/ 110 m2",4 Storey,2,25 at Age,Combi Boiler,Floor Easement,,Owner
1.360.000 TRY,1360000.0,buca-koop,17/10/2025,1 + 1,1.0,"50 m2 
/ 40 m2",5 Storey,3,1 at Age,Combi Boiler,Floor Easement,Furnished,Empty
4.000.000 TRY,4000000.0,kozagac,14/10/2025,3 + 1,,"111 m2 
/ 101 m2",3 Storey,Raised Ground,7 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
2.400.000 TRY,2400000.0,ataturk,08/10/2025,1 + 1,1.0,"50 m2 
/ 45 m2",2 Storey,Ground,7 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
1.115.000 TRY,1115000.0,kurucesme,20/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,1,New Property,Air Conditioning,Floor Easement,Furnished,Empty
1.100.000 TRY,1100000.0,ataturk,04/10/2025,1 + 1,1.0,"55 m2 
/ 51 m2",4 Storey,3,New Property,Combi Boiler,Floor Easement,Furnished,Empty
1.440.000 TRY,1440000.0,adatepe,19/10/2025,2 + 1,1.0,"85 m2 
/ 80 m2",4 Storey,2,1 at Age,Combi Boiler,Condominium,Furnished,Empty
4.650.000 TRY,4650000.0,adatepe,31/08/2025,3 + 1,2.0,"150 m2 
/ 135 m2",4 Storey,1,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.599.999 TRY,3599999.0,yildiz,12/10/2025,2 + 1,1.0,"90 m2 
/ 80 m2",3 Storey,3,New Property,Combi Boiler,Condominium,Not Furnished,Owner
3.250.000 TRY,3250000.0,kurucesme,17/10/2025,1 + 1,1.0,"73 m2 
/ 59 m2",4 Storey,4,5 at Age,Air Conditioning,Condominium,Not Furnished,Empty
2.550.000 TRY,2550000.0,ataturk,16/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",3 Storey,Garden,New Property,Air Conditioning,Floor Easement,Furnished,Tenanted
2.950.000 TRY,2950000.0,goksu,23/10/2025,3 + 1,2.0,"130 m2 
/ 120 m2",5 Storey,4,16 at Age,Combi Boiler,Condominium,Not Furnished,Owner
2.300.000 TRY,2300000.0,yildiz,15/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,2,4 at Age,Combi Boiler,Condominium,Furnished,Tenanted
6.800.000 TRY,6800000.0,yildiz,20/10/2025,3 + 1,1.0,"140 m2 
/ 130 m2",8 Storey,8,9 at Age,Combi Boiler,Condominium,Not Furnished,
4.900.000 TRY,4900000.0,yigitler,18/10/2025,2 + 1,1.0,"102 m2 
/ 100 m2",4 Storey,Raised Ground,32 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.700.000 TRY,3700000.0,yigitler,29/09/2025,2 + 1,1.0,"85 m2 
/ 75 m2",5 Storey,4,21 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.150.000 TRY,3150000.0,firat,08/10/2025,2 + 1,1.0,"70 m2 
/ 65 m2",3 Storey,2,7 at Age,Combi Boiler,Floor Easement,Not Furnished,
4.150.000 TRY,4150000.0,menderes,15/10/2025,2 + 1,1.0,"80 m2 
/ 75 m2",5 Storey,1,New Property,Combi Boiler,Condominium,Not Furnished,Tenanted
2.800.000 TRY,2800000.0,buca-koop,13/10/2025,2 + 1,1.0,"80 m2 
/ 70 m2",2 Storey,2,5 at Age,Combi Boiler,Condominium,Furnished,Empty
6.500.000 TRY,6500000.0,ataturk,22/10/2025,3 + 1,1.0,"145 m2 
/ 135 m2",7 Storey,7,16 at Age,Combi Boiler,Condominium,Not Furnished,Empty
4.750.000 TRY,4750000.0,ataturk,19/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,3,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
2.350.000 TRY,2350000.0,yildiz,13/10/2025,1 + 1,1.0,"42 m2 
/ 37 m2",2 Storey,2,4 at Age,Combi Boiler,Floor Easement,Furnished,Empty
8.500.000 TRY,8500000.0,camlikule,25/09/2025,2 + 1,2.0,"97 m2 
/ 90 m2",9 Storey,8,1 at Age,Underfloor Heating,Floor Easement,Furnished,Owner
2.850.000 TRY,2850000.0,adatepe,21/10/2025,2 + 1,1.0,"78 m2 
/ 68 m2",3 Storey,Raised Ground,11 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
3.600.000 TRY,3600000.0,kurucesme,17/10/2025,1 + 1,1.0,"75 m2 
/ 40 m2",11 Storey,4,New Property,Central Heating (Share Meter),Floor Easement,Not Furnished,Empty
2.530.000 TRY,2530000.0,yildiz,15/09/2025,1 + 1,1.0,"59 m2 
/ 52 m2",4 Storey,2,New Property,Combi Boiler,Floor Easement,Furnished,Tenanted
4.750.000 TRY,4750000.0,laleli,20/10/2025,2 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,2,New Property,Underfloor Heating,Floor Easement,Not Furnished,Empty
3.950.000 TRY,3950000.0,vali-rahmi-bey,15/10/2025,3 + 1,1.0,"145 m2 
/ 130 m2",3 Storey,3,31 at Age,Combi Boiler,Condominium,Not Furnished,Owner
3.100.000 TRY,3100000.0,kurucesme,22/10/2025,1 + 1,1.0,"55 m2 
/ 45 m2",4 Storey,2,5 at Age,Air Conditioning,Condominium,Furnished,Empty
2.725.000 TRY,2725000.0,ataturk,24/09/2025,1 + 1,1.0,"45 m2 
/ 40 m2",3 Storey,2,8 at Age,Air Conditioning,Floor Easement,Furnished,Empty
2.495.000 TRY,2495000.0,ufuk,02/10/2025,1 + 1,1.0,"48 m2 
/ 45 m2",3 Storey,2,2 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
3.950.000 TRY,3950000.0,kozagac,21/10/2025,3 + 1,1.0,"130 m2 
/ 125 m2",4 Storey,3,22 at Age,Combi Boiler,Condominium,Not Furnished,Empty
7.600.000 TRY,7600000.0,hurriyet,24/09/2025,3 + 1,1.0,"160 m2 
/ 145 m2",4 Storey,Raised Ground,7 at Age,Combi Boiler,Condominium,Not Furnished,Empty
4.450.000 TRY,4450000.0,camlik,20/10/2025,3 + 1,2.0,"112 m2 
/ 102 m2",5 Storey,Raised Ground,7 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.900.000 TRY,3900000.0,efeler,23/10/2025,2 + 1,1.0,"95 m2 
/ 88 m2",3 Storey,3,25 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
2.950.000 TRY,2950000.0,hurriyet,18/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,2,1 at Age,Underfloor Heating,Condominium,Not Furnished,Empty
2.650.000 TRY,2650000.0,ataturk,16/10/2025,1 + 1,1.0,"45 m2 
/ 40 m2",3 Storey,2,New Property,Combi Boiler,Floor Easement,Not Furnished,Tenanted
6.100.000 TRY,6100000.0,guven,21/10/2025,3 + 1,1.0,"135 m2 
/ 120 m2",4 Storey,3,1 at Age,Underfloor Heating,Floor Easement,Not Furnished,Empty
5.100.000 TRY,5100000.0,ufuk,26/08/2025,2 + 1,1.0,"181 m2 
/ 165 m2",5 Storey,Garden,5 at Age,Combi Boiler,Floor Easement,Furnished,Owner
2.900.000 TRY,2900000.0,yenigun,10/10/2025,2 + 1,1.0,"90 m2 
/ 85 m2",3 Storey,3,16 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
3.100.000 TRY,3100000.0,firat,22/10/2025,2 + 1,1.0,"116 m2 
/ 100 m2",3 Storey,Ground,21 at Age,No Heating,Condominium,Not Furnished,Empty
6.350.000 TRY,6350000.0,buca-koop,14/10/2025,3 + 1,2.0,"135 m2 
/ 125 m2",9 Storey,2,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.500.000 TRY,3500000.0,firat,22/10/2025,3 + 1,1.0,"135 m2 
/ 125 m2",4 Storey,Raised Ground,16 at Age,No Heating,Floor Easement,Not Furnished,Empty
4.320.000 TRY,4320000.0,inkilap,20/10/2025,3 + 1,1.0,"137 m2 
/ 126 m2",5 Storey,5,31 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
1.840.000 TRY,1840000.0,kurucesme,23/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",5 Storey,4,1 at Age,Combi Boiler,Condominium,Furnished,Tenanted
2.850.000 TRY,2850000.0,kurucesme,01/09/2025,2 + 1,1.0,"90 m2 
/ 85 m2",5 Storey,Ground,7 at Age,Air Conditioning,Floor Easement,Not Furnished,
3.700.000 TRY,3700000.0,vali-rahmi-bey,20/10/2025,3 + 1,1.0,"135 m2 
/ 128 m2",4 Storey,1,38 at Age,Combi Boiler,Condominium,Not Furnished,Empty
3.000.000 TRY,3000000.0,adatepe,14/10/2025,1 + 1,1.0,"50 m2 
/ 45 m2",5 Storey,5,New Property,Central Heating (Share Meter),Floor Easement,Furnished,Empty
2.800.000 TRY,2800000.0,guven,23/10/2025,2 + 1,1.0,"87 m2 
/ 70 m2",5 Storey,Top,40 at Age,Air Conditioning,Condominium,Not Furnished,Empty
5.250.000 TRY,5250000.0,laleli,26/08/2025,2 + 1,1.0,"105 m2 
/ 88 m2",5 Storey,5,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
5.200.000 TRY,5200000.0,efeler,25/09/2025,3 + 1,1.0,"150 m2 
/ 140 m2",5 Storey,4,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.350.000 TRY,4350000.0,akincilar,21/10/2025,3 + 1,1.0,"120 m2 
/ 105 m2",3 Storey,1,25 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.550.000 TRY,4550000.0,yildiz,01/09/2025,2 + 1,1.0,"90 m2 
/ 85 m2",10 Storey,3,1 at Age,Combi Boiler,Condominium,Not Furnished,Empty
2.750.000 TRY,2750000.0,adatepe,21/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,2,5 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
4.600.000 TRY,4600000.0,buca-koop,05/10/2025,3 + 1,1.0,"120 m2 
/ 100 m2",9 Storey,Middle,20 at Age,Combi Boiler,Condominium,Not Furnished,Empty
2.650.000 TRY,2650000.0,laleli,21/10/2025,3 + 1,1.0,"105 m2 
/ 100 m2",4 Storey,Top,42 at Age,Combi Boiler,Condominium,,Empty
3.950.000 TRY,3950000.0,efeler,02/10/2025,2 + 1,1.0,"100 m2 
/ 90 m2",3 Storey,2,25 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
5.500.000 TRY,5500000.0,ataturk,18/10/2025,1 + 1,1.0,"45 m2 
/ 40 m2",8 Storey,5,New Property,Underfloor Heating,Condominium,Furnished,Empty
6.970.000 TRY,6970000.0,firat,14/10/2025,2 + 1,1.0,"90 m2 
/ 85 m2",8 Storey,3,New Property,Underfloor Heating,Condominium,Not Furnished,Owner
12.000.000 TRY,12000000.0,buca-koop,15/10/2025,3 + 1,2.0,"170 m2 
/ 157 m2",13 Storey,7,4 at Age,Underfloor Heating,Floor Easement,Not Furnished,Empty
4.200.000 TRY,4200000.0,yaylacik,21/10/2025,3 + 1,1.0,"125 m2 
/ 110 m2",10 Storey,7,23 at Age,Combi Boiler,Condominium,Not Furnished,
5.475.000 TRY,5475000.0,inonu,20/09/2025,3 + 1,2.0,"150 m2 
/ 140 m2",4 Storey,2,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
2.840.000 TRY,2840000.0,adatepe,14/10/2025,1 + 1,1.0,"75 m2 
/ 70 m2",3 Storey,Raised Ground,5 at Age,Combi Boiler,Floor Easement,Furnished,Empty
3.625.000 TRY,3625000.0,kozagac,20/10/2025,2 + 1,1.0,"75 m2 
/ 65 m2",4 Storey,Top,8 at Age,Combi Boiler,Floor Easement,,Owner
3.720.000 TRY,3720000.0,hurriyet,17/10/2025,2 + 1,1.0,"95 m2 
/ 88 m2",3 Storey,3,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
4.150.000 TRY,4150000.0,hurriyet,30/09/2025,3 + 1,1.0,"135 m2 
/ 125 m2",3 Storey,3,17 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
6.750.000 TRY,6750000.0,menderes,17/09/2025,2 + 1,2.0,"160 m2 
/ 140 m2",3 Storey,3,30 at Age,Combi Boiler,Condominium,Not Furnished,Owner
2.075.000 TRY,2075000.0,ataturk,17/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,Raised Ground,5 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
2.600.000 TRY,2600000.0,goksu,03/10/2025,3 + 1,1.0,"125 m2 
/ 120 m2",4 Storey,3,20 at Age,Combi Boiler,Condominium,Not Furnished,
1.930.000 TRY,1930000.0,adatepe,21/10/2025,1 + 1,1.0,"55 m2 
/ 40 m2",4 Storey,Ground,11 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.300.000 TRY,3300000.0,kozagac,08/10/2025,2 + 1,1.0,"120 m2 
/ 84 m2",4 Storey,Raised Ground,8 at Age,Combi Boiler,Floor Easement,Furnished,Empty
2.850.000 TRY,2850000.0,adatepe,10/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",3 Storey,2,8 at Age,Air Conditioning,Condominium,Furnished,Empty
4.100.000 TRY,4100000.0,hurriyet,22/10/2025,2 + 1,1.0,"90 m2 
/ 70 m2",5 Storey,Middle,7 at Age,Combi Boiler,Condominium,Furnished,Tenanted
3.600.000 TRY,3600000.0,adatepe,23/10/2025,3 + 1,1.0,"110 m2 
/ 100 m2",3 Storey,Garden,10 at Age,Air Conditioning,Condominium,Not Furnished,Tenanted
4.300.000 TRY,4300000.0,yaylacik,15/09/2025,2 + 1,1.0,"70 m2 
/ 60 m2",4 Storey,Raised Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
2.250.000 TRY,2250000.0,adatepe,18/10/2025,1 + 1,1.0,"58 m2 
/ 52 m2",3 Storey,2,1 at Age,Combi Boiler,Condominium,Furnished,Empty
4.500.000 TRY,4500000.0,mustafa-kemal,05/10/2025,3 + 1,1.0,"134 m2 
/ 124 m2",4 Storey,1,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.600.000 TRY,4600000.0,firat,23/09/2025,3 + 1,1.0,"118 m2 
/ 115 m2",3 Storey,2,20 at Age,Combi Boiler,Condominium,Not Furnished,Owner
3.150.000 TRY,3150000.0,hurriyet,22/10/2025,3 + 1,1.0,"145 m2 
/ 105 m2",4 Storey,Raised Ground,40 at Age,Combi Boiler,Condominium,,Empty
8.400.000 TRY,8400000.0,yenigun,15/10/2025,3 + 1,2.0,"155 m2 
/ 145 m2",4 Storey,1,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.500.000 TRY,3500000.0,ataturk,15/10/2025,1 + 1,1.0,"65 m2 
/ 59 m2",3 Storey,Top,7 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
4.750.000 TRY,4750000.0,hurriyet,17/10/2025,2 + 1,2.0,"130 m2 
/ 118 m2",4 Storey,Raised Ground,7 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.725.000 TRY,3725000.0,baris,22/10/2025,3 + 1,2.0,"110 m2 
/ 95 m2",3 Storey,2,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.375.000 TRY,2375000.0,sirinkapi,21/10/2025,1 + 1,1.0,"50 m2 
/ 45 m2",3 Storey,Garden,4 at Age,Air Conditioning,Floor Easement,Furnished,Empty
6.500.000 TRY,6500000.0,kozagac,08/10/2025,3 + 1,1.0,"180 m2 
/ 160 m2",4 Storey,2,11 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.200.000 TRY,3200000.0,goksu,23/10/2025,2 + 1,1.0,"80 m2 
/ 75 m2",4 Storey,Raised Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.500.000 TRY,3500000.0,yigitler,04/09/2025,2 + 1,1.0,"95 m2 
/ 85 m2",4 Storey,4,26 at Age,Combi Boiler,Condominium,Not Furnished,Empty
3.700.000 TRY,3700000.0,efeler,13/10/2025,3 + 1,1.0,"120 m2 
/ 100 m2",4 Storey,2,30 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
1.290.000 TRY,1290000.0,ataturk,20/10/2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,2,New Property,Combi Boiler,Floor Easement,Furnished,Empty
2.550.000 TRY,2550000.0,yaylacik,06/09/2025,1 + 1,1.0,"60 m2 
/ 55 m2",2 Storey,2,5 at Age,Combi Boiler,Floor Easement,Furnished,Owner
1.215.000 TRY,1215000.0,ataturk,04/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",4 Storey,3,New Property,Combi Boiler,Condominium,Furnished,Empty
4.150.000 TRY,4150000.0,yenigun,01/10/2025,2 + 1,1.0,"90 m2 
/ 80 m2",4 Storey,2,8 at Age,Combi Boiler,Condominium,Not Furnished,Empty
4.300.000 TRY,4300000.0,buca-koop,20/10/2025,3 + 1,1.0,"145 m2 
/ 140 m2",7 Storey,2,25 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
2.075.000 TRY,2075000.0,kurucesme,23/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",4 Storey,3,1 at Age,Underfloor Heating,Condominium,Furnished,Tenanted
3.650.000 TRY,3650000.0,yildiz,20/10/2025,2 + 1,1.0,"95 m2 
/ 80 m2",3 Storey,2,7 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
5.950.000 TRY,5950000.0,buca-koop,18/10/2025,3 + 1,1.0,"150 m2 
/ 135 m2",4 Storey,Garden,16 at Age,Floor Heater,Condominium,Not Furnished,Owner
5.299.000 TRY,5299000.0,buca-koop,09/10/2025,3 + 1,2.0,"135 m2 
/ 125 m2",6 Storey,4,22 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
4.850.000 TRY,4850000.0,kirklar,02/10/2025,3 + 1,1.0,"203 m2 
/ 130 m2",1 Storey,Garden,11 at Age,Unspecified,Condominium,Not Furnished,Owner
2.780.000 TRY,2780000.0,adatepe,08/10/2025,1 + 1,1.0,"60 m2 
/ 50 m2",3 Storey,2,1 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
3.600.000 TRY,3600000.0,yigitler,20/10/2025,3 + 1,1.0,"115 m2 
/ 110 m2",4 Storey,Raised Ground,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.300.000 TRY,4300000.0,efeler,02/10/2025,2 + 1,1.0,"110 m2 
/ 100 m2",6 Storey,2,25 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.149.000 TRY,3149000.0,goksu,21/10/2025,3 + 1,2.0,"110 m2 
/ 105 m2",5 Storey,Middle,25 at Age,Unspecified,Floor Easement,Not Furnished,Empty
5.250.000 TRY,5250000.0,kozagac,05/10/2025,3 + 1,1.0,"150 m2 
/ 135 m2",9 Storey,9,17 at Age,Combi Boiler,Condominium,Not Furnished,
4.390.000 TRY,4390000.0,kozagac,24/09/2025,3 + 1,2.0,"125 m2 
/ 115 m2",3 Storey,1,13 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
2.900.000 TRY,2900000.0,camlikule,23/10/2025,3 + 1,2.0,"130 m2 
/ 110 m2",5 Storey,4,1 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
3.750.000 TRY,3750000.0,hurriyet,17/10/2025,3 + 1,1.0,"135 m2 
/ 125 m2",3 Storey,3,35 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.400.000 TRY,3400000.0,kurucesme,21/10/2025,1 + 1,1.0,"50 m2 
/ 40 m2",11 Storey,9,5 at Age,Underfloor Heating,Floor Easement,Furnished,Tenanted
3.570.000 TRY,3570000.0,adatepe,18/10/2025,2 + 1,1.0,"85 m2 
/ 80 m2",2 Storey,2,2 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.700.000 TRY,2700000.0,kurucesme,21/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",7 Storey,2,1 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
4.000.000 TRY,4000000.0,sirinkapi,02/10/2025,2 + 1,1.0,"100 m2 
/ 90 m2",2 Storey,Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
5.950.000 TRY,5950000.0,buca-koop,06/10/2025,3 + 1,1.0,"130 m2 
/ 120 m2",5 Storey,2,12 at Age,Central,Condominium,Not Furnished,Empty
2.400.000 TRY,2400000.0,kurucesme,13/10/2025,1 + 1,1.0,"60 m2 
/ 55 m2",3 Storey,3,5 at Age,Combi Boiler,Condominium,Furnished,Empty
4.000.000 TRY,4000000.0,yenigun,22/10/2025,3 + 1,1.0,"150 m2 
/ 140 m2",4 Storey,4,24 at Age,Combi Boiler,Condominium,Not Furnished,
11.200.000 TRY,11200000.0,yildiz,01/10/2025,3 + 1,1.0,"178 m2 
/ 155 m2",10 Storey,7,6 at Age,Central,Condominium,Not Furnished,Empty
3.950.000 TRY,3950000.0,efeler,21/10/2025,3 + 1,1.0,"130 m2 
/ 120 m2",3 Storey,3,30 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
4.500.000 TRY,4500000.0,yaylacik,01/10/2025,1 + 1,1.0,"55 m2 
/ 45 m2",4 Storey,3,1 at Age,Combi Boiler,Floor Easement,Furnished,Empty
3.950.000 TRY,3950000.0,buca-koop,20/10/2025,2 + 1,1.0,"120 m2 
/ 100 m2",8 Storey,8,25 at Age,Combi Boiler,Floor Easement,Furnished,Owner
4.620.000 TRY,4620000.0,menderes,21/10/2025,3 + 1,2.0,"115 m2 
/ 95 m2",4 Storey,Middle,10 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
2.600.000 TRY,2600000.0,yesilbaglar,30/08/2025,2 + 1,1.0,"85 m2 
/ 80 m2",2 Storey,Raised Ground,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
2.975.000 TRY,2975000.0,hurriyet,11/09/2025,1 + 1,1.0,"52 m2 
/ 48 m2",4 Storey,3,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
