Fiyat (Metin),Fiyat (Sayisal),Konum,Last Update Date,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Title Deed Status,Furnishing Status,Usage Status
4.100.000 TRY,4100000.0,cumhuriyet,20-10-2025,3 + 1,1.0,"125 m2 
/ 115 m2",8 Storey,7.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.300.000 TRY,3300000.0,efeler,20-10-2025,2 + 1,1.0,"125 m2 
/ 115 m2",4 Storey,4.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
1.650.000 TRY,1650000.0,adatepe,16-10-2025,1 + 1,1.0,"58 m2 
/ 52 m2",3 Storey,2.,1 at Age,Combi Boiler,Condominium,Furnished,
2.900.000 TRY,2900000.0,adatepe,13-10-2025,1 + 1,1.0,"45 m2 
/ 40 m2",5 Storey,2.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
4.350.000 TRY,4350000.0,kurucesme,08-10-2025,3 + 1,1.0,"115 m2 
/ 108 m2",9 Storey,Middle,23 at Age,Combi Boiler,Condominium,Not Furnished,Empty
3.790.000 TRY,3790000.0,ufuk,14-10-2025,2 + 1,1.0,"169 m2 
/ 120 m2",3 Storey,3.,26 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
4.250.000 TRY,4250000.0,guven,21-10-2025,1 + 1,1.0,"80 m2 
/ 70 m2",4 Storey,3.,30 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
7.000.000 TRY,7000000.0,dumlupinar,22-10-2025,3 + 1,1.0,"167 m2 
/ 160 m2",4 Storey,2.,16 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.000.000 TRY,3000000.0,adatepe,21-10-2025,1 + 1,1.0,"75 m2 
/ 55 m2",4 Storey,3.,1 at Age,Air Conditioning,Condominium,Furnished,Empty
2.300.000 TRY,2300000.0,ufuk,23-10-2025,2 + 1,1.0,"95 m2 
/ 90 m2",4 Storey,Basement,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.700.000 TRY,4700000.0,yildiz,19-09-2025,3 + 1,1.0,"130 m2 
/ 125 m2",8 Storey,6.,22 at Age,Combi Boiler,Condominium,Not Furnished,Owner
6.500.000 TRY,6500000.0,camlikule,18-10-2025,3 + 1,2.0,"185 m2 
/ 180 m2",4 Storey,2.,16 at Age,Combi Boiler,Condominium,Not Furnished,Owner
2.450.000 TRY,2450000.0,adatepe,23-10-2025,1 + 1,1.0,"60 m2 
/ 55 m2",3 Storey,Garden,1 at Age,Air Conditioning,Floor Easement,Furnished,Empty
4.200.000 TRY,4200000.0,akincilar,21-10-2025,2 + 1,1.0,"85 m2 
/ 76 m2",4 Storey,Raised Ground,New Property,Combi Boiler,Condominium,Not Furnished,Empty
2.050.000 TRY,2050000.0,kurucesme,22-09-2025,1 + 1,1.0,"55 m2 
/ 50 m2",6 Storey,2.,4 at Age,Combi Boiler,Condominium,Furnished,Empty
5.700.000 TRY,5700000.0,vali-rahmi-bey,18-10-2025,2 + 1,2.0,"90 m2 
/ 83 m2",3 Storey,2.,8 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.600.000 TRY,3600000.0,menderes,09-10-2025,3 + 1,1.0,"120 m2 
/ 100 m2",4 Storey,Penthouse,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
2.580.000 TRY,2580000.0,ataturk,10-09-2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,2.,New Property,Combi Boiler,Condominium,Not Furnished,Tenanted
4.850.000 TRY,4850000.0,firat,18-10-2025,3 + 1,2.0,"130 m2 
/ 125 m2",2 Storey,Middle,8 at Age,Combi Boiler,Condominium,Not Furnished,Empty
1.900.000 TRY,1900000.0,adatepe,13-10-2025,1 + 1,1.0,"50 m2 
/ 45 m2",4 Storey,Middle,3 at Age,Combi Boiler,Floor Easement,Furnished,Empty
8.250.000 TRY,8250000.0,kozagac,29-09-2025,3 + 1,1.0,"160 m2 
/ 145 m2",3 Storey,3.,15 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.530.000 TRY,3530000.0,kozagac,09-10-2025,3 + 1,1.0,"110 m2 
/ 100 m2",4 Storey,Underground 1,10 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
1.975.000 TRY,1975000.0,kozagac,23-10-2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,3.,16 at Age,Combi Boiler,Condominium,Not Furnished,Empty
2.500.000 TRY,2500000.0,yaylacik,06-10-2025,2 + 1,1.0,"95 m2 
/ 90 m2",4 Storey,Top,35 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
1.150.000 TRY,1150000.0,ataturk,18-10-2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,2.,1 at Age,Combi Boiler,Condominium,Furnished,Empty
3.999.000 TRY,3999000.0,baris,24-10-2025,3 + 1,1.0,"130 m2 
/ 120 m2",4 Storey,4.,20 at Age,Combi Boiler,Condominium,Not Furnished,Empty
2.150.000 TRY,2150000.0,ataturk,11-09-2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,Garden,5 at Age,Combi Boiler,Floor Easement,Furnished,Tenanted
3.975.000 TRY,3975000.0,laleli,15-10-2025,3 + 1,1.0,"141 m2 
/ 118 m2",5 Storey,3.,35 at Age,Unspecified,Condominium,,
8.500.000 TRY,8500000.0,inkilap,09-10-2025,3 + 1,1.0,"170 m2 
/ 145 m2",3 Storey,3.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
5.200.000 TRY,5200000.0,izkent,10-10-2025,1 + 1,1.0,"60 m2 
/ 50 m2",10 Storey,6.,New Property,Central Heating (Share Meter),Floor Easement,Not Furnished,Empty
7.250.000 TRY,7250000.0,yigitler,14-10-2025,3 + 1,1.0,"125 m2 
/ 120 m2",5 Storey,3.,21 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.750.000 TRY,3750000.0,kozagac,19-10-2025,3 + 1,1.0,"140 m2 
/ 130 m2",6 Storey,1.,11 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.375.000 TRY,2375000.0,buca-koop,15-10-2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,Middle,4 at Age,Combi Boiler,Condominium,Furnished,Tenanted
2.450.000 TRY,2450000.0,adatepe,21-10-2025,1 + 1,1.0,"66 m2 
/ 55 m2",2 Storey,2.,4 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
3.200.000 TRY,3200000.0,yigitler,10-10-2025,3 + 1,1.0,"140 m2 
/ 130 m2",3 Storey,3.,21 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
5.000.000 TRY,5000000.0,camlikule,23-10-2025,3 + 1,2.0,"120 m2 
/ 90 m2",4 Storey,4.,3 at Age,Combi Boiler,Condominium,Not Furnished,Empty
2.850.000 TRY,2850000.0,hurriyet,18-10-2025,1 + 1,1.0,"50 m2 
/ 45 m2",4 Storey,2.,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.100.000 TRY,2100000.0,camlikule,01-08-2025,2 + 1,1.0,"100 m2 
/ 90 m2",3 Storey,Underground 1,5 at Age,Combi Boiler,Condominium,Not Furnished,Empty
