Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Swap,Facade
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/159217-38,"150 Square Meters Apartment For Sale in Buca, Izmir",5.200.000 TRY,5200000.0,efeler,159217-38,25/09/2025,For Sale,Apartment,3 + 1,1.0,"150 m2 
/ 140 m2",5 Storey,4,26 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,"South, West"
https://www.hepsiemlak.com/en/izmir-buca-akincilar-satilik/daire/26467-6580,"120 Square Meters Apartment For Sale in Buca, Izmir",4.350.000 TRY,4350000.0,akincilar,26467-6580,21/10/2025,For Sale,Apartment,3 + 1,1.0,"120 m2 
/ 105 m2",3 Storey,1,25 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,"South, East"
https://www.hepsiemlak.com/en/izmir-buca-yildiz-satilik/daire/151931-42,"90 Square Meters Apartment For Sale in Buca, Izmir",4.550.000 TRY,4550000.0,yildiz,151931-42,01/09/2025,For Sale,Apartment,2 + 1,1.0,"90 m2 
/ 85 m2",10 Storey,3,1 at Age,Combi Boiler,Available,Condominium,Not Furnished,Empty,No,West
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/111716-1184,"55 Square Meters Apartment For Sale in Buca, Izmir",2.750.000 TRY,2750000.0,adatepe,111716-1184,21/10/2025,For Sale,Apartment,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,2,5 at Age,Air Conditioning,Available,Floor Easement,Furnished,Tenanted,,"South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-buca-koop-satilik/daire/0-44874159,"120 Square Meters Apartment For Sale in Buca, Izmir",4.600.000 TRY,4600000.0,buca-koop,0-44874159,05/10/2025,For Sale,Apartment,3 + 1,1.0,"120 m2 
/ 100 m2",9 Storey,Middle,20 at Age,Combi Boiler,Not Available,Condominium,Not Furnished,Empty,,"East, West"
https://www.hepsiemlak.com/en/izmir-buca-laleli-satilik/daire/126264-2335,"105 Square Meters Apartment For Sale in Buca, Izmir",2.650.000 TRY,2650000.0,laleli,126264-2335,21/10/2025,For Sale,Apartment,3 + 1,1.0,"105 m2 
/ 100 m2",4 Storey,Top,42 at Age,Combi Boiler,Available,Condominium,,Empty,No,East
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/24511-9620,"100 Square Meters Apartment For Sale in Buca, Izmir",3.950.000 TRY,3950000.0,efeler,24511-9620,02/10/2025,For Sale,Apartment,2 + 1,1.0,"100 m2 
/ 90 m2",3 Storey,2,25 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,East
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/123628-81,"45 Square Meters Apartment For Sale in Buca, Izmir",5.500.000 TRY,5500000.0,ataturk,123628-81,18/10/2025,For Sale,Apartment,1 + 1,1.0,"45 m2 
/ 40 m2",8 Storey,5,New Property,Underfloor Heating,Available,Condominium,Furnished,Empty,No,South
https://www.hepsiemlak.com/en/izmir-buca-firat-satilik/daire/117461-4433,"90 Square Meters Apartment For Sale in Buca, Izmir",6.970.000 TRY,6970000.0,firat,117461-4433,14/10/2025,For Sale,Apartment,2 + 1,1.0,"90 m2 
/ 85 m2",8 Storey,3,New Property,Underfloor Heating,Available,Condominium,Not Furnished,Owner,No,"East, West"
https://www.hepsiemlak.com/en/izmir-buca-buca-koop-satilik/daire/151855-119,"170 Square Meters Apartment For Sale in Buca, Izmir",12.000.000 TRY,12000000.0,buca-koop,151855-119,15/10/2025,For Sale,Apartment,3 + 1,2.0,"170 m2 
/ 157 m2",13 Storey,7,4 at Age,Underfloor Heating,Available,Floor Easement,Not Furnished,Empty,No,
