Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Inside The Site,Swap,Facade,Property Structure,Fuel Type,Structure Type,State of the Building,Rental Income,Dues,Authorized Office,Last Update Dat...,Number Of Room ...,Number of Bathr...,Number of Floor...,Loan Availabili...,Title Deed Stat...,Furnishing Stat...,Closed Area M2,Open Area M2,Property Struct...,State of the Bu...,Authorized Offi...
https://www.hepsiemlak.com/en/izmir-buca-akincilar-satilik/daire/29626-2004,"75 Square Meters Apartment For Sale in Buca, Izmir",2.500.000 TRY,2500000.0,,29626-2004,,For Sale,Apartment,,,"75 m2 
/ 70 m2",,Underground 1,5 at Age,Combi Boiler,,,,Owner,,No,"North, South",,,,,,,,01-10-2025,2 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-guven-satilik/daire/85846-2051,"85 Square Meters Apartment For Sale in Buca, Izmir",3.685.000 TRY,3685000.0,,85846-2051,,For Sale,Apartment,,,"85 m2 
/ 80 m2",,2.,8 at Age,Combi Boiler,,,,,,,,,,,,,,,31-07-2025,2 + 1,1,4 Storey,Available,Floor Easement,,,,,,
https://www.hepsiemlak.com/en/izmir-buca-camlikule-satilik/daire/126264-2415,"140 Square Meters Apartment For Sale in Buca, Izmir",6.900.000 TRY,6900000.0,,126264-2415,,For Sale,Apartment,,,"140 m2 
/ 125 m2",,Middle,14 at Age,Combi Boiler,,,,Owner,,No,South,,Gas,Reinforced Conc...,,,400 TRY,,18-10-2025,3 + 1,,8 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/143819-114,"100 Square Meters Apartment For Sale in Buca, Izmir",3.500.000 TRY,3500000.0,,143819-114,,For Sale,Apartment,,,"100 m2 
/ 90 m2",,Raised Ground F...,5 at Age,Combi Boiler,,,,Empty,,No,,,,,,,,,23-08-2025,2 + 1,2,2 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-firat-satilik/daire/112720-128,"55 Square Meters Apartment For Sale in Buca, Izmir",3.250.000 TRY,3250000.0,,112720-128,,For Sale,Apartment,,,"55 m2 
/ 50 m2",,4.,New Property,Combi Boiler,,,,Empty,,No,,,,,,,,,10-09-2025,1 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-laleli-satilik/daire/85846-2066,"125 Square Meters Apartment For Sale in Buca, Izmir",3.500.000 TRY,3500000.0,,85846-2066,,For Sale,Apartment,,,"125 m2 
/ 115 m2",,2.,30 at Age,Combi Boiler,,,,,,,,,,,,,,,16-08-2025,3 + 1,1,4 Storey,Available,Floor Easement,,,,,,
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/70103-1057,"120 Square Meters Apartment For Sale in Buca, Izmir",5.000.000 TRY,5000000.0,,70103-1057,,For Sale,Apartment,,,"120 m2 
/ 115 m2",,Raised Ground F...,9 at Age,Combi Boiler,,,,Empty,,No,"East, West",,Gas,Reinforced Conc...,,30.000 TRY,50 TRY,,08-08-2025,3 + 1,1,5 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-yigitler-satilik/daire/29626-2086,"110 Square Meters Apartment For Sale in Buca, Izmir",4.500.000 TRY,4500000.0,,29626-2086,,For Sale,Apartment,,,"110 m2 
/ 95 m2",,1.,35 at Age,Combi Boiler,,,,Owner,,No,"North, South",,Gas,Reinforced Conc...,,25.000 TRY,100 TRY,,18-10-2025,3 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/24511-9528,"135 Square Meters Apartment For Sale in Buca, Izmir",4.250.000 TRY,4250000.0,,24511-9528,,For Sale,Apartment,,,"135 m2 
/ 125 m2",,Middle,24 at Age,Combi Boiler,,,,Owner,,No,"South, East",,Gas,Reinforced Conc...,,22.000 TRY,100 TRY,,14-10-2025,3 + 1,1,4 Storey,Available,Condominium,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-yaylacik-satilik/daire/68864-2584,"55 Square Meters Apartment For Sale in Buca, Izmir",3.350.000 TRY,3350000.0,,68864-2584,,For Sale,Apartment,,,"55 m2 
/ 50 m2",,9.,New Property,Central Heating...,,,,Empty,Yes,No,,,,,,,,,10-09-2025,1 + 1,1,9 Storey,Available,Floor Easement,Not Furnished,,,,,
